Prompts,Path_Item,Call
Gets a indexed search result of Manufacturing Item,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/search,get
Gets a Manufacturing Item,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID},get
Modifies the Manufacturing Item attributes,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID},patch
Delete the Manufacturing Item,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID},delete
"Get scoped, partial scoped and resulting manufacturing item references from Engineering Item",/resources/v1/modeler/dsmfg/invoke/dsmfg:getMfgItemsFromEngItem,post
Creates Manufacturing Items,/resources/v1/modeler/dsmfg/dsmfg:MfgItem,post
Locate or find set of Manufacturing Items dsmfg:MfgItem based on the matched search criteria and other filter criteria,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/locate,post
Bulk reconnect of scope and resulting products for the corresponding specified Mfg Item,/resources/v1/modeler/dsmfg/invoke/dsmfg:reconnect,post
Expand specified Manufacturing Item dsmfg:MfgItem to retrive  all its references and instances,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/expand,post
Retrieve Manufacturing Item realized changes with its realized activity in the change,/resources/v1/modeler/dsmfg/invoke/dsmfg:getRealizedChanges,post
Gets multiple Manufacturing Items which are Indexed,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/bulkfetch,post
Gets all the Manufacturing Item Instances,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:MfgItemInstance,get
Create Manufacturing Item Instance,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:MfgItemInstance,post
Gets a Manufacturing Item Instance,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{PID}/dsmfg:MfgItemInstance/{ID},get
Modifies the Manufacturing Item Instance attributes,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{PID}/dsmfg:MfgItemInstance/{ID},patch
Replace the Manufacturing Item Instance,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{PID}/dsmfg:MfgItemInstance/{ID}/replace,post
Get all the Manufacturing Item Instances from the given specified Engineering Item occurrence having implement links,/resources/v1/modeler/dsmfg/invoke/dsmfg:getMfgItemInstanceFromImplementedEngOccurrence,post
Detach Manufacturing item instances from an Manufacturing Item version,/resources/v1/modeler/dsmfg/invoke/dsmfg:detachMfgItemInstances,post
Get Multiple  Manufacturing Item Instances which are Indexed,/resources/v1/modeler/dsmfg/dsmfg:MfgItemInstance/bulkFetch,post
Gets all the resulting Engineering Item from the Manufacturing reference dsmfg:MfgItem,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ResultingEngItem,get
Creates Resulting Engineering Item Link to an Engineering Item,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ResultingEngItem,post
Gets specific Resulting Engineering Items,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ResultingEngItem/{PID},get
Modifies the Resulting Eng Item Link attributes,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ResultingEngItem/{PID},patch
Delete the Resulting EngItem Link to Engineering Item,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ResultingEngItem/{PID},delete
Gets a Scoped Engineering Item of an dsmfg:MfgItem,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ScopeEngItem,get
Service to attach a Scope Engineering Item to a Manufacturing Item reference,/resources/v1/modeler/dsmfg/dsmfg:MfgItem/{ID}/dsmfg:ScopeEngItem/attach,post
